date,turnover,cost,exposure_scalar,realized_vol,drawdown,drawdown_breach
2018-12-31,0.30143703362823066,0.0003014370336282306,0.4140997882073036,0.20256810613282833,-0.06019431692140198,False
2019-01-31,0.07271653152354385,7.271653152354385e-05,0.5595328512543912,0.1551976724351936,-0.0552696730571518,False
2019-02-28,0.18147322904342914,0.00018147322904342914,0.7737523622489053,0.09100591485955732,-0.04524952755021894,False
2019-03-29,0.23245587627368858,0.00023245587627368858,0.5327228848832601,0.07554334075407565,-0.09345542302334797,False
2019-04-30,0.04593138061819601,4.593138061819601e-05,0.6245856461196522,0.0798309712613631,-0.07508287077606957,False
2019-05-31,0.09548293746444665,9.548293746444665e-05,0.6552518128964915,0.0868615555393409,-0.0689496374207017,False
2019-06-28,0.2797106122159383,0.0002797106122159383,0.7265255773026649,0.08003633622434207,-0.054694884539467026,False
2019-07-31,0.29559481699387674,0.00029559481699387673,0.7070035189845111,0.08024592394195205,-0.058599296203097784,False
2019-08-30,0.13582376141880376,0.00013582376141880377,0.5898376906981647,0.08460405984642676,-0.08203246186036706,False
2019-09-30,0.21827798166516119,0.00021827798166516117,0.7402658790179064,0.08540166271338029,-0.05194682419641872,False
2019-10-31,0.20873782594591003,0.00020873782594591002,1.0,0.09981445182514767,0.0,False
2019-11-29,0.3144486679233629,0.0003144486679233629,0.7918147624083234,0.12707818044249547,-0.03229603457607233,False
2019-12-31,0.23067426901745822,0.00023067426901745823,0.7452433789158723,0.13891524098367317,-0.027457227377357896,False
2020-01-31,0.2348468368186601,0.00023484683681866008,0.6912851553348406,0.14833586989046466,-0.029096025235069045,False
2020-02-28,0.2503174776896045,0.00025031747768960446,0.5876387409710483,0.1546695486134593,-0.04851696864371069,False
2020-03-31,0.23696857206327504,0.00023696857206327503,0.4824323054314084,0.17336401026916004,-0.06060600141169126,False
2020-04-30,0.20798175772044689,0.0002079817577204469,0.4690514411698846,0.17176405224209323,-0.06572303959111137,False
2020-05-29,0.17947684901518018,0.00017947684901518018,0.38022440397625185,0.14388906683899771,-0.10881644220407172,False
2020-06-30,0.08401208413659364,8.401208413659364e-05,0.26665913130534813,0.10456200383275707,-0.14666817373893037,False
2020-07-31,0.14029717422595292,0.00014029717422595292,0.30673915981681643,0.06970677905171087,-0.1386521680366367,False
2020-08-31,0.14021373653810493,0.00014021373653810493,0.2712724123932222,0.05386929358053894,-0.14574551752135556,False
2020-09-30,0.04094842738022739,4.094842738022739e-05,0.19375721845930866,0.03883463074672384,-0.16124855630813828,False
2020-10-30,0.07702468769675988,7.702468769675988e-05,0.17803588104467166,0.031862696726392976,-0.16439282379106568,False
2020-11-30,0.07397526664127609,7.397526664127608e-05,0.13663829536530864,0.02781956060497639,-0.17267234092693828,False
2020-12-31,0.05984553109660179,5.984553109660179e-05,0.13925886595621134,0.021555127748230575,-0.17214822680875774,False
2021-01-29,0.05332590206755379,5.332590206755379e-05,0.1195514850575799,0.019687570171436703,-0.17608970298848403,False
2021-02-26,0.030492586532559363,3.0492586532559364e-05,0.12535038833643236,0.017559125319704976,-0.17492992233271354,False
2021-03-31,0.04848805946984076,4.8488059469840755e-05,0.14182026829891142,0.017559891169780115,-0.17163594634021773,False
2021-04-30,0.05299569000736074,5.299569000736074e-05,0.14528662788463792,0.020115978175964548,-0.17094267442307243,False
