date,equal_weight,mean_variance,risk_parity,hrp,black_litterman
2018-01-02,-0.005165359158323217,-0.005165359158323217,-0.005165359158323217,-0.005165359158323217,-0.005165359158323217
2018-01-03,0.008390200139189723,0.008390200139189723,0.008390200139189723,0.008390200139189723,0.008390200139189723
2018-01-04,-0.006833543901768648,-0.006833543901768648,-0.006833543901768648,-0.006833543901768648,-0.006833543901768648
2018-01-05,0.004809011970701927,0.004809011970701927,0.004809011970701927,0.004809011970701927,0.004809011970701927
2018-01-08,-0.003138723106381557,-0.003138723106381557,-0.003138723106381557,-0.003138723106381557,-0.003138723106381557
2018-01-09,0.015500956847226625,0.015500956847226625,0.015500956847226625,0.015500956847226625,0.015500956847226625
2018-01-10,0.015584534878649173,0.015584534878649173,0.015584534878649173,0.015584534878649173,0.015584534878649173
2018-01-11,0.011793518136680975,0.011793518136680975,0.011793518136680975,0.011793518136680975,0.011793518136680975
2018-01-12,-0.006215553747581641,-0.006215553747581641,-0.006215553747581641,-0.006215553747581641,-0.006215553747581641
2018-01-15,0.01675308560599824,0.01675308560599824,0.01675308560599824,0.01675308560599824,0.01675308560599824
2018-01-16,-0.006755481228664248,-0.006755481228664248,-0.006755481228664248,-0.006755481228664248,-0.006755481228664248
2018-01-17,-0.003288130737197589,-0.003288130737197589,-0.003288130737197589,-0.003288130737197589,-0.003288130737197589
2018-01-18,5.7122306807699824e-05,5.7122306807699824e-05,5.7122306807699824e-05,5.7122306807699824e-05,5.7122306807699824e-05
2018-01-19,0.0019055468991336537,0.0019055468991336537,0.0019055468991336537,0.0019055468991336537,0.0019055468991336537
2018-01-22,-0.001190998889471784,-0.001190998889471784,-0.001190998889471784,-0.001190998889471784,-0.001190998889471784
2018-01-23,-0.007862655949560786,-0.007862655949560786,-0.007862655949560786,-0.007862655949560786,-0.007862655949560786
2018-01-24,0.006885013561978279,0.006885013561978279,0.006885013561978279,0.006885013561978279,0.006885013561978279
2018-01-25,0.01107147045959777,0.01107147045959777,0.01107147045959777,0.01107147045959777,0.01107147045959777
2018-01-26,0.0038184531222616525,0.0038184531222616525,0.0038184531222616525,0.0038184531222616525,0.0038184531222616525
2018-01-29,0.004639504985970296,0.004639504985970296,0.004639504985970296,0.004639504985970296,0.004639504985970296
2018-01-30,1.691646016155712e-05,1.691646016155712e-05,1.691646016155712e-05,1.691646016155712e-05,1.691646016155712e-05
2018-01-31,-0.010866399700769842,-0.010866399700769842,-0.010866399700769842,-0.010866399700769842,-0.010866399700769842
2018-02-01,0.0005042013515480857,0.0005042013515480857,0.0005042013515480857,0.0005042013515480857,0.0005042013515480857
2018-02-02,0.006004710598390405,0.006004710598390405,0.006004710598390405,0.006004710598390405,0.006004710598390405
2018-02-05,-0.009735864807440516,-0.009735864807440516,-0.009735864807440516,-0.009735864807440516,-0.009735864807440516
2018-02-06,-0.007832726658361013,-0.007832726658361013,-0.007832726658361013,-0.007832726658361013,-0.007832726658361013
2018-02-07,-0.007689503911593807,-0.007689503911593807,-0.007689503911593807,-0.007689503911593807,-0.007689503911593807
2018-02-08,0.00592781924050957,0.00592781924050957,0.00592781924050957,0.00592781924050957,0.00592781924050957
2018-02-09,0.01539227537557107,0.01539227537557107,0.01539227537557107,0.01539227537557107,0.01539227537557107
2018-02-12,-0.001314048086817875,-0.001314048086817875,-0.001314048086817875,-0.001314048086817875,-0.001314048086817875
2018-02-13,0.0008912845099016847,0.0008912845099016847,0.0008912845099016847,0.0008912845099016847,0.0008912845099016847
2018-02-14,0.0034318061714810164,0.0034318061714810164,0.0034318061714810164,0.0034318061714810164,0.0034318061714810164
2018-02-15,0.00194131635778952,0.00194131635778952,0.00194131635778952,0.00194131635778952,0.00194131635778952
2018-02-16,-0.02285728696799208,-0.02285728696799208,-0.02285728696799208,-0.02285728696799208,-0.02285728696799208
2018-02-19,0.011048878885826728,0.011048878885826728,0.011048878885826728,0.011048878885826728,0.011048878885826728
2018-02-20,0.0036802953830288223,0.0036802953830288223,0.0036802953830288223,0.0036802953830288223,0.0036802953830288223
2018-02-21,-0.005311274911974655,-0.005311274911974655,-0.005311274911974655,-0.005311274911974655,-0.005311274911974655
